Wall time,Step,Value
1555538845.9292243,161792,-1.2421259880065918
1555538927.400275,323584,-0.8679875135421753
1555539009.1828344,485376,-2.075068712234497
1555539124.1672668,625664,-0.667826235294342
1555539308.3488505,765952,-1.297538161277771
1555539494.9629583,906240,-2.179499387741089
1555539683.0346565,1046528,-3.5688960552215576
1555539871.657547,1186816,-1.41067373752594
1555540057.18092,1327104,-1.4164886474609375
1555540243.2667892,1467392,-1.170981526374817
1555540451.4869394,1607680,-0.9316915273666382
1555540637.404763,1747968,-0.815697968006134
1555540950.2348971,1868288,-0.9177408218383789
1555541352.4528055,1988608,-0.5507529377937317
1555541757.7495155,2108928,-0.32867005467414856
1555542163.682479,2229248,-0.2131841480731964
1555542574.342685,2349568,-0.05376419797539711
1555542983.0099359,2469888,-0.05146562308073044
1555543388.8181884,2590208,-0.025716625154018402
1555543795.1770592,2710528,0.0022633548360317945
1555544207.6305416,2830848,-0.05035245046019554
1555544612.328107,2951168,-0.0002039868850260973
1555545243.7287986,3051264,-0.058259811252355576
1555546126.5756352,3151360,-0.03381582349538803
1555547009.2599208,3251456,0.05828189104795456
1555547888.9373405,3351552,0.08536744862794876
1555548769.1079319,3451648,0.1443098932504654
1555549647.3072076,3551744,0.1129373162984848
1555550522.313333,3651840,0.07942673563957214
1555551393.738008,3751936,0.038664743304252625
1555552272.642438,3852032,0.03901420161128044
1555553143.5019994,3952128,0.041087664663791656
1555554014.8176777,4052224,0.032360319048166275
1555554886.0364518,4152320,0.004951161798089743
1555555943.9826734,4232320,0.06201757863163948
1555557504.5031343,4312320,0.07773882150650024
1555559070.299065,4392320,0.023687170818448067
1555560637.0122855,4472320,0.038656581193208694
1555562194.3719816,4552320,0.03490419313311577
1555563754.2466443,4632320,-0.046403415501117706
1555565331.830893,4712320,0.027630651369690895
1555566913.3817875,4792320,0.001287267543375492
1555568517.1291447,4872320,-0.034577321261167526
1555570170.5193431,4952320,0.019580243155360222
1555571906.0066228,5032320,0.004755088593810797
