Wall time,Step,Value
1555538845.9292243,161792,-1.6517246961593628
1555538927.400275,323584,-0.9209192991256714
1555539009.1828344,485376,-1.9602066278457642
1555539124.1672668,625664,-1.0331107378005981
1555539308.3488505,765952,-3.98148775100708
1555539494.9629583,906240,-11.972521781921387
1555539683.0346565,1046528,-15.94969654083252
1555539871.657547,1186816,-13.79179573059082
1555540057.18092,1327104,-15.965535163879395
1555540243.2667892,1467392,-13.428621292114258
1555540451.4869394,1607680,-12.02918815612793
1555540637.404763,1747968,-10.06483268737793
1555540950.2348971,1868288,-9.162495613098145
1555541352.4528055,1988608,-8.511075973510742
1555541757.7495155,2108928,-8.061408996582031
1555542163.682479,2229248,-7.988990306854248
1555542574.342685,2349568,-8.82457160949707
1555542983.0099359,2469888,-9.444372177124023
1555543388.8181884,2590208,-8.456103324890137
1555543795.1770592,2710528,-8.017229080200195
1555544207.6305416,2830848,-7.720492362976074
1555544612.328107,2951168,-7.514171600341797
1555545243.7287986,3051264,-7.258891582489014
1555546126.5756352,3151360,-7.049047946929932
1555547009.2599208,3251456,-6.76124906539917
1555547888.9373405,3351552,-6.622158527374268
1555548769.1079319,3451648,-6.823940277099609
1555549647.3072076,3551744,-7.4067792892456055
1555550522.313333,3651840,-7.573474407196045
1555551393.738008,3751936,-7.591689586639404
1555552272.642438,3852032,-7.571041107177734
1555553143.5019994,3952128,-7.6833038330078125
1555554014.8176777,4052224,-7.787843704223633
1555554886.0364518,4152320,-7.925273418426514
1555555943.9826734,4232320,-7.939900875091553
1555557504.5031343,4312320,-7.877731800079346
1555559070.299065,4392320,-7.985690593719482
1555560637.0122855,4472320,-8.05241870880127
1555562194.3719816,4552320,-8.414341926574707
1555563754.2466443,4632320,-8.99160099029541
1555565331.830893,4712320,-9.210676193237305
1555566913.3817875,4792320,-9.650933265686035
1555568517.1291447,4872320,-10.204315185546875
1555570170.5193431,4952320,-10.598443031311035
1555571906.0066228,5032320,-10.776854515075684
1555573631.2611768,5112320,-11.315975189208984
1555575322.463921,5192320,-11.613956451416016
1555577035.9410105,5272320,-12.006659507751465
1555578809.3444376,5352320,-12.242030143737793
1555580438.5439289,5412352,-12.4484281539917
1555583037.7882988,5472384,-12.192760467529297
1555585618.5542564,5532416,-12.571654319763184
1555588210.0032153,5592448,-13.165974617004395
1555590632.327462,5652480,-13.616096496582031
1555592824.061154,5712512,-14.074834823608398
1555595016.8066297,5772544,-14.543037414550781
1555597208.2742429,5832576,-15.404748916625977
1555599399.2586472,5892608,-15.907570838928223
1555601590.6274316,5952640,-16.796689987182617
